state1,state2,state3,state4,state4,time
2,1,0,0,0,2021/11/20 4:28
1,1,0,0,0,2021/11/20 4:28
2,1,0,0,0,2021/11/20 4:28
1,1,0,0,0,2021/11/20 4:28
2,1,0,0,0,2021/11/20 4:29
1,1,0,0,0,2021/11/20 4:29
2,1,0,0,0,2021/11/20 4:29
1,1,0,0,0,2021/11/20 4:30
2,1,0,0,0,2021/11/20 4:30
2,0,0,0,0,2021/11/20 4:30
1,0,0,0,0,2021/11/20 4:30
1,1,0,0,0,2021/11/20 4:31
2,1,0,0,0,2021/11/20 4:31
1,1,0,0,0,2021/11/20 4:31
2,1,0,0,0,2021/11/20 4:31
1,1,0,0,0,2021/11/20 4:32
2,1,0,0,0,2021/11/20 4:32
1,1,0,0,0,2021/11/20 4:32
2,1,0,0,0,2021/11/20 4:32
1,1,0,0,0,2021/11/20 4:33
2,1,0,0,0,2021/11/20 4:33
1,1,0,0,0,2021/11/20 4:33
2,1,0,0,0,2021/11/20 4:33
1,1,0,0,0,2021/11/20 4:34
2,1,0,0,0,2021/11/20 4:34
1,1,0,0,0,2021/11/20 4:34
2,1,0,0,0,2021/11/20 4:34
1,1,0,0,0,2021/11/20 4:35
2,1,0,0,0,2021/11/20 4:35
1,1,0,0,0,2021/11/20 4:35
2,1,0,0,0,2021/11/20 4:36
1,1,0,0,0,2021/11/20 4:36
2,1,0,0,0,2021/11/20 4:36
1,1,0,0,0,2021/11/20 4:37
2,1,0,0,0,2021/11/20 4:38
1,1,0,0,0,2021/11/20 4:38
2,1,0,0,0,2021/11/20 4:38
1,1,0,0,0,2021/11/20 4:38
2,1,0,0,0,2021/11/20 4:39
1,1,0,0,0,2021/11/20 4:39
2,1,0,0,0,2021/11/20 4:39
1,1,0,0,0,2021/11/20 4:40
2,1,0,0,0,2021/11/20 4:40
1,1,0,0,0,2021/11/20 4:40
2,1,0,0,0,2021/11/20 4:41
1,1,0,0,0,2021/11/20 4:41
2,1,0,0,0,2021/11/20 4:41
1,1,0,0,0,2021/11/20 4:41
2,1,0,0,0,2021/11/20 4:42
1,1,0,0,0,2021/11/20 4:43
2,1,0,0,0,2021/11/20 4:43
1,1,0,0,0,2021/11/20 4:44
2,1,0,0,0,2021/11/20 4:44
1,1,0,0,0,2021/11/20 4:44
2,1,0,0,0,2021/11/20 4:45
1,1,0,0,0,2021/11/20 4:45
2,1,0,0,0,2021/11/20 4:45
1,1,0,0,0,2021/11/20 4:45
2,1,0,0,0,2021/11/20 4:46
1,1,0,0,0,2021/11/20 4:46
2,1,0,0,0,2021/11/20 4:46
1,1,0,0,0,2021/11/20 4:46
2,1,0,0,0,2021/11/20 4:47
1,1,0,0,0,2021/11/20 4:47
2,1,0,0,0,2021/11/20 4:47
1,1,0,0,0,2021/11/20 4:47
2,1,0,0,0,2021/11/20 4:48
1,1,0,0,0,2021/11/20 4:48
2,1,0,0,0,2021/11/20 4:48
